links,title
/nurturing-minds/scholarships/school-women/begum-hazrat-mahal-national-scholarship,Begum Hazrat Mahal National Scholarship
/nurturing-minds/scholarships/women/post-graduate-indira-gandhi-scholarship-single-girl-child,Post-Graduate Indira Gandhi Scholarship for Single Girl Child
/nurturing-minds/scholarships/women/pragati-scholarship-girl-students-technical-education,PRAGATI Scholarship for Girl Students for Technical Education
/nurturing-minds/scholarships/women/ugc-post-doctoral-fellowship-women-candidates,UGC-Post Doctoral Fellowship for Women Candidates
/nurturing-minds/scholarships/women/women-scientist-scheme-wos,Women Scientist Scheme-A (WOS-A)
/nurturing-minds/scholarships/women/women-scientist-scheme-b-wos-b,Women Scientist Scheme-B (WOS-B)
/nurturing-minds/scholarships/women/women-scientist-scheme-c-wos-c,Women Scientist Scheme-C (WOS-C)
